LPSD pixel # (0-127)	LPSD pitch (mm)	Tube # (1-8)	Tube  pitch	Xoffset	Yoffset	Zoffset	Module #	Pixel ID		IDX	RADIUS	AZIMUTH	POLAR	ZROT	YROT	XROT		XTRN	YTRN	ZTRN		Location		ARCS Module No.			cz	sz	cy	sy	cx	sx	R11	R12	R13	R21	R22	R23	R31	R32	R33	Xoffset	Yoffset	Zoffset	Location	X_pixel	Y_pixel	Z_pixel				Xsci	Ysci	Zsci	Radius	Phi_sci	2Theta_sci	Zrot_sci	Yrot_sci	Xrot_sci
63.5	7.86	4.5	27.4	0	0	0	78	79359.5		1	3301.086	133.176	71.520	43.176	0.000	90.000		-2142.267	2283.199	1046.357		T1		78			0.729	0.684	1.000	0.000	0.000	1.000	0.729	0.000	0.684	0.684	0.000	-0.729	0.000	1.000	0.000	-2142.26727	2283.198732	1046.357145	T1	2283.198732	996.3571453	-2142.26727				2283.199	996.357	-2142.267	3285.579563	23.576	130.694	0.000	-46.824	0.000
0	7.86	1	27.4	-95.9	499.11	0	79	79872		2	3301.086	129.152	71.520	39.152	0.000	90.000		-1976.764	2427.902	1046.357		T2		79			0.775	0.631	1.000	0.000	0.000	1.000	0.775	0.000	0.631	0.631	0.000	-0.775	0.000	1.000	0.000	-2051.132026	2367.352894	1545.467145	T2	2367.352894	1495.467145	-2051.132026				2367.353	1495.467	-2051.132	3471.011999	32.281	126.223	0.000	-50.848	0.000
0	7.86	1	27.4	-95.9	499.11	0	80	80896		3	3301.086	125.128	71.520	35.128	0.000	90.000		-1801.514	2560.635	1046.357		T3		80			0.818	0.575	1.000	0.000	0.000	1.000	0.818	0.000	0.575	0.575	0.000	-0.818	0.000	1.000	0.000	-1879.948065	2505.453569	1545.467145	T3	2505.453569	1495.467145	-1879.948065				2505.454	1495.467	-1879.948	3471.011999	30.832	122.794	0.000	-54.872	0.000
0	7.86	1	27.4	-95.9	499.11	0	81	81920		4	3301.086	121.104	71.520	31.104	0.000	90.000		-1617.382	2680.742	1046.357		T4		81			0.856	0.517	1.000	0.000	0.000	1.000	0.856	0.000	0.517	0.517	0.000	-0.856	0.000	1.000	0.000	-1699.494994	2631.201072	1545.467145	T4	2631.201072	1495.467145	-1699.494994				2631.201	1495.467	-1699.495	3471.011999	29.612	119.316	0.000	-58.896	0.000
0	7.86	1	27.4	-95.9	499.11	0	82	82944		5	3301.086	117.080	71.520	27.080	0.000	90.000		-1425.276	2787.632	1046.357		T5		82			0.890	0.455	1.000	0.000	0.000	1.000	0.890	0.000	0.455	0.455	0.000	-0.890	0.000	1.000	0.000	-1510.66254	2743.975402	1545.467145	T5	2743.975402	1495.467145	-1510.66254				2743.975	1495.467	-1510.663	3471.011999	28.590	115.799	0.000	-62.920	0.000
0	7.86	1	27.4	-95.9	499.11	0	83	83968		6	3301.086	113.056	71.520	23.056	0.000	90.000		-1226.142	2880.778	1046.357		T6		83			0.920	0.392	1.000	0.000	0.000	1.000	0.920	0.000	0.392	0.392	0.000	-0.920	0.000	1.000	0.000	-1314.381744	2843.220524	1545.467145	T6	2843.220524	1495.467145	-1314.381744				2843.221	1495.467	-1314.382	3471.011999	27.743	112.252	0.000	-66.944	0.000
0	7.86	1	27.4	-95.9	499.11	0	84	84992		7	3301.086	109.032	71.520	19.032	0.000	90.000		-1020.963	2959.720	1046.357		T7		84			0.945	0.326	1.000	0.000	0.000	1.000	0.945	0.000	0.326	0.326	0.000	-0.945	0.000	1.000	0.000	-1111.620371	2928.447108	1545.467145	T7	2928.447108	1495.467145	-1111.620371				2928.447	1495.467	-1111.620	3471.011999	27.052	108.679	0.000	-70.968	0.000
0	7.86	1	27.4	-95.9	499.11	0	85	86016		8	3301.086	103.558	71.520	13.558	0.000	90.000		-733.967	3043.616	1046.357		T8		85			0.972	0.234	1.000	0.000	0.000	1.000	0.972	0.000	0.234	0.234	0.000	-0.972	0.000	1.000	0.000	-827.1945064	3021.134152	1545.467145	T8	3021.134152	1495.467145	-827.1945064				3021.134	1495.467	-827.195	3471.011999	26.335	103.787	0.000	-76.442	0.000
0	7.86	1	27.4	-95.9	499.11	0	86	87040		9	3301.086	99.534	71.520	9.534	0.000	90.000		-518.574	3087.618	1046.357		T9		86			0.986	0.166	1.000	0.000	0.000	1.000	0.986	0.000	0.166	0.166	0.000	-0.986	0.000	1.000	0.000	-613.1492059	3071.734097	1545.467145	T9	3071.734097	1495.467145	-613.1492059				3071.734	1495.467	-613.149	3471.011999	25.959	100.175	0.000	-80.466	0.000
0	7.86	1	27.4	-95.9	499.11	0	87	88064		10	3301.086	95.510	71.520	5.510	0.000	90.000		-300.624	3116.397	1046.357		T10		87			0.995	0.096	1.000	0.000	0.000	1.000	0.995	0.000	0.096	0.096	0.000	-0.995	0.000	1.000	0.000	-396.0807649	3107.188817	1545.467145	T10	3107.188817	1495.467145	-396.0807649				3107.189	1495.467	-396.081	3471.011999	25.701	96.552	0.000	-84.490	0.000
