IDX	RADIUS	AZIMUTH	POLAR	ZROT	YROT	XROT		XTRN	YTRN	ZTRN		Location
1	3301.086	133.176	71.520	43.176	0.000	90.000		-2142.267	2283.199	1046.357		T1
2	3301.086	129.152	71.520	39.152	0.000	90.000		-1976.764	2427.902	1046.357		T2
3	3301.086	125.128	71.520	35.128	0.000	90.000		-1801.514	2560.635	1046.357		T3
4	3301.086	121.104	71.520	31.104	0.000	90.000		-1617.382	2680.742	1046.357		T4
5	3301.086	117.080	71.520	27.080	0.000	90.000		-1425.276	2787.632	1046.357		T5
6	3301.086	113.056	71.520	23.056	0.000	90.000		-1226.142	2880.778	1046.357		T6
7	3301.086	109.032	71.520	19.032	0.000	90.000		-1020.963	2959.720	1046.357		T7
8	3301.086	103.558	71.520	13.558	0.000	90.000		-733.967	3043.616	1046.357		T8
9	3301.086	99.534	71.520	9.534	0.000	90.000		-518.574	3087.618	1046.357		T9
10	3301.086	95.510	71.520	5.510	0.000	90.000		-300.624	3116.397	1046.357		T10
11	3301.086	91.486	71.520	1.486	0.000	90.000		-81.192	3129.810	1046.357		T11
12	3301.086	87.462	71.520	-2.538	0.000	90.000		138.641	3127.792	1046.357		T12
13	3301.086	83.438	71.520	-6.562	0.000	90.000		357.790	3110.352	1046.357		T13
14	3301.086	79.414	71.520	-10.586	0.000	90.000		575.175	3077.577	1046.357		T14
15	3301.086	72.436	71.520	-17.564	0.000	90.000		944.804	2984.904	1046.357		T15
16	3301.086	68.412	71.520	-21.588	0.000	90.000		1151.938	2911.244	1046.357		T16
17	3301.086	64.388	71.520	-25.612	0.000	90.000		1353.393	2823.231	1046.357		T17
18	3301.086	60.364	71.520	-29.636	0.000	90.000		1548.175	2721.298	1046.357		T18
19	3301.086	56.340	71.520	-33.660	0.000	90.000		1735.323	2605.947	1046.357		T19
20	3301.086	52.316	71.520	-37.684	0.000	90.000		1913.916	2477.747	1046.357		T20
21	3301.086	48.292	71.520	-41.708	0.000	90.000		2083.072	2337.331	1046.357		T21
22	3301.086	42.818	71.520	-47.182	0.000	90.000		2296.540	2127.959	1046.357		T22
23	3301.086	38.794	71.520	-51.206	0.000	90.000		2440.206	1961.555	1046.357		T23
24	3301.086	34.770	71.520	-55.230	0.000	90.000		2571.841	1785.480	1046.357		T24
25	3301.086	30.746	71.520	-59.254	0.000	90.000		2690.796	1600.601	1046.357		T25
26	3301.086	26.722	71.520	-63.278	0.000	90.000		2796.483	1407.830	1046.357		T26
27	3301.086	22.698	71.520	-67.302	0.000	90.000		2888.383	1208.118	1046.357		T27
28	3301.086	16.096	71.520	-73.904	0.000	90.000		3008.129	868.024	1046.357		T28
29	3301.086	12.072	71.520	-77.928	0.000	90.000		3061.626	654.791	1046.357		T29
30	3301.086	8.048	71.520	-81.952	0.000	90.000		3100.028	438.329	1046.357		T30
31	3301.086	4.024	71.520	-85.976	0.000	90.000		3123.145	219.706	1046.357		T31
32	3301.086	0.000	71.520	-90.000	0.000	90.000		3130.863	0.000	1046.357		T32
33	3301.086	-4.024	71.520	-94.024	0.000	90.000		3123.145	-219.706	1046.357		T33
34	3301.086	-8.048	71.520	-98.048	0.000	90.000		3100.028	-438.329	1046.357		T34
35	3301.086	-13.888	71.520	-103.888	0.000	90.000		3039.338	-751.485	1046.357		T35
36	3301.086	-17.912	71.520	-107.912	0.000	90.000		2979.110	-962.916	1046.357		T36
37	3301.086	-21.936	71.520	-111.936	0.000	90.000		2904.194	-1169.599	1046.357		T37
38	3301.086	-25.960	71.520	-115.960	0.000	90.000		2814.959	-1370.515	1046.357		T38
39	2990.850	134.116	90.000	44.116	0.000	90.000		-2081.970	2147.227	0.000		M1
40	2990.850	129.904	90.000	39.904	0.000	90.000		-1918.640	2294.342	0.000		M2
41	2990.850	125.692	90.000	35.692	0.000	90.000		-1744.945	2429.064	0.000		M3
42	2990.850	121.480	90.000	31.480	0.000	90.000		-1561.825	2550.664	0.000		M4
43	2990.850	117.268	90.000	27.268	0.000	90.000		-1370.267	2658.487	0.000		M5
44	2990.850	113.056	90.000	23.056	0.000	90.000		-1171.308	2751.948	0.000		M6
45	2990.850	108.844	90.000	18.844	0.000	90.000		-966.022	2830.545	0.000		M7
46	2990.850	103.746	90.000	13.746	0.000	90.000		-710.680	2905.188	0.000		M8
47	2990.850	99.534	90.000	9.534	0.000	90.000		-495.383	2949.539	0.000		M9
48	2990.850	95.322	90.000	5.322	0.000	90.000		-277.410	2977.957	0.000		M10
49	2990.850	91.110	90.000	1.110	0.000	90.000		-57.939	2990.289	0.000		M11
50	2990.850	86.898	90.000	-3.102	0.000	90.000		161.846	2986.468	0.000		M12
51	2990.850	82.686	90.000	-7.314	0.000	90.000		380.756	2966.515	0.000		M13
52	2990.850	78.474	90.000	-11.526	0.000	90.000		597.609	2930.537	0.000		M14
53	2990.850	73.376	90.000	-16.624	0.000	90.000		855.652	2865.841	0.000		M15
54	2990.850	69.164	90.000	-20.836	0.000	90.000		1063.828	2795.256	0.000		M16
55	2990.850	64.952	90.000	-25.048	0.000	90.000		1266.258	2709.571	0.000		M17
